"phi","n","blksize","CI","target","cov","LB","UB"
0.2,1600,24,"pctCI","sigma",0.937,0.93201642336955,0.9416444410246
0.2,1600,24,"ctrCI","sigma",0.9412,0.936365722026615,0.945691766588441
0.2,1600,24,"bcCI","sigma",0.9397,0.93481167467133,0.944247021258179
0.2,1600,24,"bcaCI","sigma",0.9407,0.935847613974296,0.945210277296831
0.2,1600,24,"propCI","sigma",0.9387,0.933776097323833,0.943283402421796
0.2,200,12,"stdCI","sigma",0.9248,0.919415043512718,0.929855557677441
0.2,200,12,"stuCI","sigma",0.9446,0.939891402081272,0.94896334227585
0.2,200,12,"pctCI","sigma",0.92,0.914468550801288,0.925205859409583
0.2,200,12,"ctrCI","sigma",0.9219,0.916425836492561,0.927047067219018
0.2,200,12,"bcCI","sigma",0.9227,0.91725022818487,0.927822040736724
0.2,200,12,"bcaCI","sigma",0.9229,0.917456351666301,0.928015758512505
0.2,200,12,"propCI","sigma",0.9238,0.918384035279071,0.928887360328398
0.2,200,6,"stdCI","sigma",0.9294,0.924161190729942,0.934305749593921
0.2,200,6,"stuCI","sigma",0.9378,0.932844380368836,0.942415842118954
0.2,200,6,"pctCI","sigma",0.9254,0.920033776005976,0.930436348300608
0.2,200,6,"ctrCI","sigma",0.929,0.923748245831192,0.933919013281442
0.2,200,6,"bcCI","sigma",0.9283,0.92302570305581,0.933242113721413
0.2,200,6,"bcaCI","sigma",0.9284,0.923128914874428,0.933338822253043
0.2,200,6,"propCI","sigma",0.9279,0.92261288417261,0.932855251148916
0.2,3200,15,"stdCI","sigma",0.945,0.940306490212699,0.949347930534741
0.2,3200,15,"stuCI","sigma",0.9473,0.942694547073855,0.951558009537963
0.2,3200,15,"pctCI","sigma",0.9423,0.937505891280556,0.946750710695684
0.2,3200,15,"ctrCI","sigma",0.9457,0.941033053416097,0.950020800605489
0.2,3200,15,"bcCI","sigma",0.9443,0.939580128824469,0.948674858130711
0.2,3200,15,"bcaCI","sigma",0.9454,0.94072164424087,0.94973245272772
0.2,3200,15,"propCI","sigma",0.944,0.939268891980048,0.948386337480964
0.2,3200,30,"stdCI","sigma",0.9459,0.94124068048243,0.950213011520003
0.2,3200,30,"stuCI","sigma",0.9487,0.944149271200351,0.952902147716477
0.2,3200,30,"pctCI","sigma",0.9444,0.939683882517269,0.9487710235822
0.2,3200,30,"ctrCI","sigma",0.946,0.94134450033319,0.950309110643172
0.2,3200,30,"bcCI","sigma",0.945,0.940306490212699,0.949347930534741
0.2,3200,30,"bcaCI","sigma",0.9453,0.940617849518961,0.949636328410368
0.2,3200,30,"propCI","sigma",0.9449,0.940202712028365,0.949251789637236
0.2,400,15,"stdCI","sigma",0.9308,0.925606866458137,0.935658957377967
0.2,400,15,"stuCI","sigma",0.9437,0.938957691273778,0.948097780602061
0.2,400,15,"pctCI","sigma",0.926,0.920652605458594,0.931017041785251
0.2,400,15,"ctrCI","sigma",0.9288,0.923541790704843,0.933725627768357
0.2,400,15,"bcCI","sigma",0.9294,0.924161190729942,0.934305749593921
0.2,400,15,"bcaCI","sigma",0.9308,0.925606866458137,0.935658957377967
0.2,400,15,"propCI","sigma",0.9281,0.922819287946867,0.93304868811341
0.2,400,8,"stdCI","sigma",0.9335,0.928396623958577,0.938267043280522
0.2,400,8,"stuCI","sigma",0.9395,0.934604530513794,0.944054326245218
0.2,400,8,"pctCI","sigma",0.9297,0.924470929897528,0.934595771274949
0.2,400,8,"ctrCI","sigma",0.9312,0.926020023515992,0.93604548111042
0.2,400,8,"bcCI","sigma",0.9321,0.926949803685158,0.936914982361705
0.2,400,8,"bcaCI","sigma",0.9327,0.927569794883624,0.937494511828635
0.2,400,8,"propCI","sigma",0.9321,0.926949803685158,0.936914982361705
0.2,800,10,"stdCI","sigma",0.9426,0.937816926863874,0.947039433106789
0.2,800,10,"stuCI","sigma",0.9459,0.94124068048243,0.950213011520003
0.2,800,10,"pctCI","sigma",0.941,0.936158467619992,0.945499182084118
0.2,800,10,"ctrCI","sigma",0.9414,0.936572991430536,0.945884336059618
0.2,800,10,"bcCI","sigma",0.9409,0.936054846018378,0.945402884216908
0.2,800,10,"bcaCI","sigma",0.9404,0.935536793674388,0.944921339084768
0.2,800,10,"propCI","sigma",0.9414,0.936572991430536,0.945884336059618
0.2,800,19,"stdCI","sigma",0.9408,0.935951228139417,0.945306582618196
0.2,800,19,"stuCI","sigma",0.9474,0.942798427119793,0.951654048306314
0.2,800,19,"pctCI","sigma",0.9375,0.932533870714348,0.94212659254598
0.2,800,19,"ctrCI","sigma",0.9404,0.935536793674388,0.944921339084768
0.2,800,19,"bcCI","sigma",0.9382,0.93325844179659,0.942801459551817
0.2,800,19,"bcaCI","sigma",0.9379,0.932947890507844,0.942512251706878
0.2,800,19,"propCI","sigma",0.9384,0.933465493460884,0.942994247270409
0.4,100,10,"stdCI","sigma",0.8893,0.882949089353347,0.895349499796402
0.4,100,10,"stuCI","sigma",0.9258,0.92044631813466,0.930823488150226
0.4,100,10,"pctCI","sigma",0.8733,0.866585692129681,0.879725416923749
0.4,100,10,"ctrCI","sigma",0.8918,0.885509352196088,0.897787276763649
0.4,100,10,"bcCI","sigma",0.8867,0.880287465312154,0.892813161190981
