"phi","n","CI","target","cov","LB","UB"
0.4,3200,"bcCI","phi",0.5493,0.53948077842968,0.559081165244433
0.4,3200,"bcaCI","phi",0.5491,0.539280468248862,0.558881629819648
0.4,3200,"propCI","phi",0.9493,0.944772995074659,0.953477935514363
0.4,400,"stdCI","phi",0.9411,0.936262092953108,0.945595476210937
0.4,400,"stuCI","phi",0.947,0.94238293313502,0.951269866963641
0.4,400,"pctCI","phi",0.7607,0.752188011102382,0.769010575324667
0.4,400,"ctrCI","phi",0.7544,0.745816289991839,0.762787174004274
0.4,400,"bcCI","phi",0.7339,0.725099463582113,0.742519865254356
0.4,400,"bcaCI","phi",0.7329,0.724089511487913,0.741530591008569
0.4,400,"propCI","phi",0.9386,0.933672559176654,0.943187020905572
0.4,800,"stdCI","phi",0.9516,0.947165502596561,0.955683551631871
0.4,800,"stuCI","phi",0.9553,0.951019878745266,0.959226140449624
0.4,800,"pctCI","phi",0.7419,0.733181139872288,0.750431998932565
0.4,800,"ctrCI","phi",0.7241,0.715204348170489,0.732822561687012
0.4,800,"bcCI","phi",0.7005,0.691396592536171,0.709448566696791
0.4,800,"bcaCI","phi",0.6991,0.689985179676716,0.708061061871068
0.4,800,"propCI","phi",0.9489,0.944357160847865,0.953094095343924
