"phi","n","blksize","CI","target","cov","LB","UB"
0.2,1600,24,"bcCI","mu",0.9403,0.935433194277224,0.944825018960558
0.2,1600,24,"bcaCI","mu",0.9403,0.935433194277224,0.944825018960558
0.2,1600,24,"propCI","mu",0.941,0.936158467619992,0.945499182084118
0.2,200,12,"stdCI","mu",0.9261,0.920755753203096,0.931113814512622
0.2,200,12,"stuCI","mu",0.9448,0.940098937951994,0.949155644621243
0.2,200,12,"pctCI","mu",0.9251,0.919724397706335,0.93014596506421
0.2,200,12,"ctrCI","mu",0.923,0.91755941726574,0.928112613534798
0.2,200,12,"bcCI","mu",0.9249,0.919518158906995,0.92995236281486
0.2,200,12,"bcaCI","mu",0.9228,0.917353288640869,0.927918900911618
0.2,200,12,"propCI","mu",0.9256,0.920240041663835,0.930629923641919
0.2,200,6,"stdCI","mu",0.9275,0.922200110454914,0.932468343324294
0.2,200,6,"stuCI","mu",0.9376,0.932637370479841,0.942223012530722
0.2,200,6,"pctCI","mu",0.925,0.919621276969902,0.930049165278753
0.2,200,6,"ctrCI","mu",0.9243,0.918899506400574,0.929371492058239
0.2,200,6,"bcCI","mu",0.9258,0.92044631813466,0.930823488150226
0.2,200,6,"bcaCI","mu",0.9261,0.920755753203096,0.931113814512622
0.2,200,6,"propCI","mu",0.9253,0.919930647219436,0.93033955658009
0.2,3200,15,"stdCI","mu",0.9474,0.942798427119793,0.951654048306314
0.2,3200,15,"stuCI","mu",0.9487,0.944149271200351,0.952902147716477
0.2,3200,15,"pctCI","mu",0.9454,0.94072164424087,0.94973245272772
0.2,3200,15,"ctrCI","mu",0.9448,0.940098937951994,0.949155644621243
0.2,3200,15,"bcCI","mu",0.9459,0.94124068048243,0.950213011520003
0.2,3200,15,"bcaCI","mu",0.9463,0.941655985288156,0.95059738254341
0.2,3200,15,"propCI","mu",0.9463,0.941655985288156,0.95059738254341
0.2,3200,30,"stdCI","mu",0.9438,0.939061420843964,0.948193970236971
0.2,3200,30,"stuCI","mu",0.9476,0.943006200381585,0.951846112637627
0.2,3200,30,"pctCI","mu",0.9434,0.938646526435033,0.94780918776582
0.2,3200,30,"ctrCI","mu",0.9426,0.937816926863874,0.947039433106789
0.2,3200,30,"bcCI","mu",0.9417,0.936883923813686,0.946173161921232
0.2,3200,30,"bcaCI","mu",0.9419,0.937091231026524,0.946365693492534
0.2,3200,30,"propCI","mu",0.942,0.937194890347625,0.946461953549674
0.2,400,15,"stdCI","mu",0.9318,0.926639849579956,0.936625176049125
0.2,400,15,"stuCI","mu",0.9418,0.936987575518275,0.946269429613309
0.2,400,15,"pctCI","mu",0.9319,0.926743164558122,0.936721781216461
0.2,400,15,"ctrCI","mu",0.9276,0.92230329966894,0.932565074503904
0.2,400,15,"bcCI","mu",0.9314,0.926226620091641,0.936238724893542
0.2,400,15,"bcaCI","mu",0.9303,0.92509048731535,0.935175735398207
0.2,400,15,"propCI","mu",0.9317,0.926536537650403,0.936528567826964
0.2,400,8,"stdCI","mu",0.9363,0.93129213986023,0.940969285804703
0.2,400,8,"stuCI","mu",0.9439,0.93916515440938,0.948290155866628
0.2,400,8,"pctCI","mu",0.9363,0.93129213986023,0.940969285804703
0.2,400,8,"ctrCI","mu",0.9346,0.929533844590411,0.939328942679545
0.2,400,8,"bcCI","mu",0.9351,0.930050891775213,0.939811495235233
0.2,400,8,"bcaCI","mu",0.936,0.930981783073375,0.940679883025309
0.2,400,8,"propCI","mu",0.9365,0.931499061133761,0.941162204205289
0.2,800,10,"stdCI","mu",0.944,0.939268891980048,0.948386337480964
0.2,800,10,"stuCI","mu",0.9473,0.942694547073855,0.951558009537963
0.2,800,10,"pctCI","mu",0.9413,0.936469354849437,0.945788053207668
0.2,800,10,"ctrCI","mu",0.9415,0.936676631778912,0.945980615135252
0.2,800,10,"bcCI","mu",0.9396,0.93470810078712,0.944150675561334
0.2,800,10,"bcaCI","mu",0.94,0.935122418073303,0.944536036548708
0.2,800,10,"propCI","mu",0.9417,0.936883923813686,0.946173161921232
0.2,800,19,"stdCI","mu",0.9406,0.935744003514238,0.945113968261627
0.2,800,19,"stuCI","mu",0.9476,0.943006200381585,0.951846112637627
0.2,800,19,"pctCI","mu",0.9395,0.934604530513794,0.944054326245218
0.2,800,19,"ctrCI","mu",0.941,0.936158467619992,0.945499182084118
0.2,800,19,"bcCI","mu",0.9382,0.93325844179659,0.942801459551817
0.2,800,19,"bcaCI","mu",0.9389,0.933983184237045,0.943476154811103
0.2,800,19,"propCI","mu",0.9389,0.933983184237045,0.943476154811103
0.4,100,10,"stdCI","mu",0.895,0.888787980897228,0.900906137197136
0.4,100,10,"stuCI","mu",0.9352,0.930154310982767,0.939907995954818
0.4,100,10,"pctCI","mu",0.8924,0.886123965838257,0.898372192493761
0.4,100,10,"ctrCI","mu",0.8921,0.88581665164943,0.898079742005447
0.4,100,10,"bcCI","mu",0.8906,0.884280300667941,0.896617269333673
0.4,100,10,"bcaCI","mu",0.8906,0.884280300667941,0.896617269333673
0.4,100,10,"propCI","mu",0.8927,0.886431294816692,0.898664628174342
0.4,100,5,"stdCI","mu",0.9022,0.896171362817133,0.907917097548038
0.4,100,5,"stuCI","mu",0.9226,0.917147170293747,0.927725177992397
0.4,100,5,"pctCI","mu",0.8995,0.893401510120686,0.905289073321222
0.4,100,5,"ctrCI","mu",0.899,0.892888719753255,0.90480225665679
0.4,100,5,"bcCI","mu",0.9014,0.895350526185802,0.907138563427343
0.4,100,5,"bcaCI","mu",0.8995,0.893401510120686,0.905289073321222
0.4,100,5,"propCI","mu",0.9005,0.894427226058193,0.906262571267916
0.4,1600,12,"stdCI","mu",0.9354,0.930361159224483,0.940100987546209
0.4,1600,12,"stuCI","mu",0.9384,0.933465493460884,0.942994247270409
0.4,1600,12,"pctCI","mu",0.9353,0.930257733463508,0.940004493394168
0.4,1600,12,"ctrCI","mu",0.9354,0.930361159224483,0.940100987546209
0.4,1600,12,"bcCI","mu",0.9348,0.929740653721584,0.93952197346542
0.4,1600,12,"bcaCI","mu",0.9349,0.929844063151603,0.939618483983526
0.4,1600,12,"propCI","mu",0.9349,0.929844063151603,0.939618483983526
0.4,1600,24,"stdCI","mu",0.938,0.933051404120247,0.942608657813575
0.4,1600,24,"stuCI","mu",0.9419,0.937091231026524,0.946365693492534
0.4,1600,24,"pctCI","mu",0.9359,0.93087833748146,0.940583408747233
0.4,1600,24,"ctrCI","mu",0.9351,0.930050891775213,0.939811495235233
0.4,1600,24,"bcCI","mu",0.937,0.93201642336955,0.9416444410246
