"phi","n","blksize","CI","target","cov","LB","UB","CP_LB","CP_UB"
0,100,10,"pctCI","rho",0.9402,0.93532959855038,0.944728695157395,0.935372954185558,0.944768651925556
0,100,10,"ctrCI","rho",0.8307,0.823172289907748,0.837972006473099,0.823203779575245,0.838003096938948
0,100,10,"bcCI","rho",0.881,0.874455957663482,0.887249131240922,0.874492669079835,0.887284520704506
0,100,10,"bcaCI","rho",0.8725,0.865768464952311,0.878943269092309,0.865804277892542,0.878977947996246
0,100,10,"propCI","rho",0.9118,0.906031110659311,0.917249784971305,0.906071166205355,0.917287661742111
0,100,5,"stdCI","rho",0.9172,0.911585732145156,0.922490895438269,0.911626393803114,0.922529188750336
0,100,5,"stuCI","rho",0.9362,0.931188684255478,0.940872821561354,0.931231554499969,0.940912505636562
0,100,5,"pctCI","rho",0.9735,0.970112640864169,0.97651794762061,0.97016070249327,0.976559522551224
0,100,5,"ctrCI","rho",0.8203,0.812601612988798,0.827750763713777,0.812632045319281,0.827780943217457
0,100,5,"bcCI","rho",0.8626,0.855662057978638,0.869257403707425,0.855696834083567,0.86929124549538
0,100,5,"bcaCI","rho",0.8526,0.84546550735949,0.859461749046144,0.845499245154801,0.859494736353996
0,100,5,"propCI","rho",0.9296,0.924367680592793,0.934499100302549,0.924409767633353,0.934538317033822
0,1600,12,"stdCI","rho",0.9378,0.932844380368836,0.942415842118954,0.932887443698261,0.942455636324727
0,1600,12,"stuCI","rho",0.94,0.935122418073303,0.944536036548708,0.935165749220797,0.94457597989669
0,1600,12,"pctCI","rho",0.9607,0.956659053752702,0.964382490791655,0.956705097158649,0.964423648619579
0,1600,12,"ctrCI","rho",0.9105,0.904694840639488,0.915987080992744,0.90473475137172,0.916024856398297
0,1600,12,"bcCI","rho",0.9156,0.909939234689182,0.920938658593357,0.909979715953538,0.920976829279431
0,1600,12,"bcaCI","rho",0.9132,0.907470575944143,0.91860921413904,0.90751078790482,0.918647199617438
0,1600,12,"propCI","rho",0.939,0.93408673301928,0.943572525667916,0.934129942085294,0.943612401564137
0,1600,24,"stdCI","rho",0.9383,0.933361965876285,0.942897855167544,0.933405089830574,0.942937683508059
0,1600,24,"stuCI","rho",0.9433,0.938542812746415,0.947712982209688,0.938586551164543,0.947753143822287
0,1600,24,"pctCI","rho",0.9499,0.945396885284869,0.954053556510763,0.945441461919991,0.954094131397548
0,1600,24,"ctrCI","rho",0.9234,0.917971705495527,0.928500007745771,0.918013073316372,0.928538769198524
0,1600,24,"bcCI","rho",0.9266,0.92127153295453,0.931597637043802,0.921313270193601,0.931636635243635
0,1600,24,"bcaCI","rho",0.925,0.919621276969902,0.930049165278753,0.919662829044959,0.930088045553094
0,1600,24,"propCI","rho",0.9379,0.932947890507844,0.942512251706878,0.932990965951118,0.942552052750536
0,200,12,"stdCI","rho",0.9148,0.909116205303321,0.920162320473761,0.909156596631952,0.920200429589435
0,200,12,"stuCI","rho",0.9341,0.929016878193278,0.938846309163945,0.929059497021706,0.938885846717949
0,200,12,"pctCI","rho",0.9449,0.940202712028365,0.949251789637236,0.940246650547115,0.949292054485087
0,200,12,"ctrCI","rho",0.8683,0.861479391013735,0.874835622874383,0.861514762909221,0.874869947801281
0,200,12,"bcCI","rho",0.8965,0.890325432204053,0.902367508177759,0.890363806226415,0.902404169434951
0,200,12,"bcaCI","rho",0.8894,0.883051480672352,0.89544703009277,0.883089088795363,0.89548311305417
0,200,12,"propCI","rho",0.9222,0.916734964287357,0.927337701411695,0.916776194488144,0.927376373186159
0,200,6,"stdCI","rho",0.9269,0.921581033813457,0.931887897492422,0.921622805875833,0.93192691769983
0,200,6,"stuCI","rho",0.9368,0.931809468314844,0.94145155647973,0.931852410805922,0.941491282011504
0,200,6,"pctCI","rho",0.9719,0.968422567175794,0.975009430392593,0.968470349835536,0.975050979254469
0,200,6,"ctrCI","rho",0.8552,0.848115515105466,0.862009715628984,0.848149522067015,0.862042925888219
0,200,6,"bcCI","rho",0.8828,0.876296966494941,0.88900671381119,0.876333869278374,0.889042252656838
0,200,6,"bcaCI","rho",0.8755,0.868833507501141,0.881875882378695,0.868869636612882,0.881910812995904
0,200,6,"propCI","rho",0.9322,0.92705312784652,0.937011578327075,0.927095521038327,0.937050981508977
0,3200,15,"stdCI","rho",0.9458,0.941136864847053,0.950116908170437,0.941180916742662,0.950157230282439
0,3200,15,"stuCI","rho",0.9474,0.942798427119793,0.951654048306314,0.942842682122204,0.95169447070118
0,3200,15,"pctCI","rho",0.9594,0.955299837054919,0.963142790384835,0.955345695715417,0.963183886068923
0,3200,15,"ctrCI","rho",0.9276,0.92230329966894,0.932565074503904,0.922345153118311,0.932604145931732
0,3200,15,"bcCI","rho",0.9276,0.92230329966894,0.932565074503904,0.922345153118311,0.932604145931732
0,3200,15,"bcaCI","rho",0.9266,0.92127153295453,0.931597637043802,0.921313270193601,0.931636635243635
0,3200,15,"propCI","rho",0.9451,0.94041027251552,0.949444067303186,0.94045423617676,0.949484344927835
0,3200,30,"stdCI","rho",0.9399,0.935018833305983,0.944439701760339,0.935062152218665,0.944479638389357
0,3200,30,"stuCI","rho",0.943,0.938231695316172,0.947424341847017,0.938275396415086,0.947464483906872
0,3200,30,"pctCI","rho",0.9479,0.943317893376994,0.952134175942345,0.943362212275144,0.952174629258465
0,3200,30,"ctrCI","rho",0.9267,0.9213746971465,0.931694393292885,0.921416445989586,0.931733398832271
0,3200,30,"bcCI","rho",0.9279,0.92261288417261,0.932855251148916,0.922654772559758,0.932894344471602
0,3200,30,"bcaCI","rho",0.9263,0.920962056882551,0.931307351761614,0.921003759331948,0.931346327920755
0,3200,30,"propCI","rho",0.937,0.93201642336955,0.9416444410246,0.932059389985132,0.941684180333621
0,400,15,"stdCI","rho",0.9225,0.917044114962956,0.927628312683194,0.917085379524059,0.927667006921267
0,400,15,"stuCI","rho",0.9357,0.930671456259703,0.940390450207315,0.930714266441819,0.940430099594633
0,400,15,"pctCI","rho",0.9455,0.940825443123844,0.949828572873242,0.940869457159445,0.949868875963702
0,400,15,"ctrCI","rho",0.8914,0.885099642420638,0.897397300251123,0.885137465498606,0.89743354689458
0,400,15,"bcCI","rho",0.9091,0.90325617754416,0.914626848413486,0.90329593276829,0.914664514217253
0,400,15,"bcaCI","rho",0.9026,0.896581825816212,0.908306319863986,0.896620864643039,0.908343471272065
0,400,15,"propCI","rho",0.9267,0.9213746971465,0.931694393292885,0.921416445989586,0.931733398832271
0,400,8,"stdCI","rho",0.9312,0.926020023515992,0.93604548111042,0.926062298611612,0.936084812920788
0,400,8,"stuCI","rho",0.9387,0.933776097323833,0.943283402421796,0.933819269879157,0.943323257970661
0,400,8,"pctCI","rho",0.9641,0.960219379755143,0.967619312247046,0.960265920221416,0.967660619018421
0,400,8,"ctrCI","rho",0.8827,0.876194675822961,0.888909082752306,0.876231567964143,0.888944613309575
0,400,8,"bcCI","rho",0.8998,0.893709205906575,0.905581141725891,0.893747938738804,0.905618068974576
0,400,8,"bcaCI","rho",0.8945,0.888275582347666,0.900418928209733,0.888313739814976,0.90045542736568
0,400,8,"propCI","rho",0.9354,0.930361159224483,0.940100987546209,0.930403933430553,0.940140616060421
0,800,10,"stdCI","rho",0.94,0.935122418073303,0.944536036548708,0.935165749220797,0.94457597989669
0,800,10,"stuCI","rho",0.9432,0.938439103003567,0.94761677269798,0.938482828975118,0.947656927799717
0,800,10,"pctCI","rho",0.9635,0.959590483664822,0.967048714064091,0.95963693482407,0.967089996107682
0,800,10,"ctrCI","rho",0.9036,0.897608114956021,0.909279243830535,0.897647263430577,0.909316474936248
0,800,10,"bcCI","rho",0.9116,0.905825507262163,0.917055546250552,0.905865540502684,0.917093407452818
0,800,10,"bcaCI","rho",0.9056,0.899661266365873,0.911224517833848,0.89970063473721,0.911261907741291
0,800,10,"propCI","rho",0.9396,0.93470810078712,0.944150675561334,0.934751383031196,0.944190591998236
0,800,19,"stdCI","rho",0.9359,0.93087833748146,0.940583408747233,0.930921171673086,0.940623072024891
0,800,19,"stuCI","rho",0.9435,0.938750244079226,0.947905389356528,0.938794007411168,0.947945563970555
0,800,19,"pctCI","rho",0.9511,0.946645176110138,0.955204286645674,0.946689909140816,0.955244932754168
0,800,19,"ctrCI","rho",0.9147,0.909013336774458,0.920065268048203,0.909053716873084,0.920103369455783
0,800,19,"bcCI","rho",0.9248,0.919415043512718,0.929855557677441,0.919456572507172,0.929894423147178
0,800,19,"bcaCI","rho",0.9207,0.915189551731171,0.925884303634333,0.915230610565484,0.92592286266204
0,800,19,"propCI","rho",0.9364,0.931395598817207,0.941065746688475,0.931438493122897,0.941105444603188
0.2,100,10,"stdCI","rho",0.8871,0.880696877572668,0.893203435571219,0.880734239216412,0.89323932958778
0.2,100,10,"stuCI","rho",0.9303,0.92509048731535,0.935175735398207,0.92513265649679,0.935215002607699
