"phi","n","blksize","CI","target","cov","LB","UB"
-0.4,400,15,"stdCI","mu",0.9438,0.939061420843964,0.948193970236971
-0.4,400,15,"stuCI","mu",0.9542,0.949873231224667,0.958173692595393
-0.4,400,15,"pctCI","mu",0.9421,0.93729855349081,0.94655820977546
-0.4,400,15,"ctrCI","mu",0.9408,0.935951228139417,0.945306582618196
-0.4,400,15,"bcCI","mu",0.9425,0.937713244470407,0.94694319617824
-0.4,400,15,"bcaCI","mu",0.9403,0.935433194277224,0.944825018960558
-0.4,400,15,"propCI","mu",0.9427,0.937920613135651,0.947135666147515
-0.4,400,8,"stdCI","mu",0.9484,0.943837470777787,0.952614192132546
-0.4,400,8,"stuCI","mu",0.9543,0.949977444884848,0.95826939678155
-0.4,400,8,"pctCI","mu",0.9462,0.941552152724964,0.950501296166016
-0.4,400,8,"ctrCI","mu",0.9464,0.941759822111087,0.950693464649848
-0.4,400,8,"bcCI","mu",0.9465,0.941863663204975,0.950789542474059
-0.4,400,8,"bcaCI","mu",0.947,0.94238293313502,0.951269866963641
-0.4,400,8,"propCI","mu",0.947,0.94238293313502,0.951269866963641
-0.4,800,10,"stdCI","mu",0.9507,0.946229002543356,0.954820786779362
-0.4,800,10,"stuCI","mu",0.9536,0.949248060772221,0.957599355623671
-0.4,800,10,"pctCI","mu",0.9491,0.944565068772065,0.953286024643954
-0.4,800,10,"ctrCI","mu",0.9472,0.942590671402201,0.951461966383575
-0.4,800,10,"bcCI","mu",0.9501,0.945604886138187,0.95424539262046
-0.4,800,10,"bcaCI","mu",0.9506,0.946124971204467,0.954724899725153
-0.4,800,10,"propCI","mu",0.9498,0.945292891913079,0.953957631381034
-0.4,800,19,"stdCI","mu",0.942,0.937194890347625,0.946461953549674
-0.4,800,19,"stuCI","mu",0.9504,0.945916922893283,0.954533111208841
-0.4,800,19,"pctCI","mu",0.9413,0.936469354849437,0.945788053207668
-0.4,800,19,"ctrCI","mu",0.9412,0.936365722026615,0.945691766588441
-0.4,800,19,"bcCI","mu",0.9417,0.936883923813686,0.946173161921232
-0.4,800,19,"bcaCI","mu",0.9418,0.936987575518275,0.946269429613309
-0.4,800,19,"propCI","mu",0.9421,0.93729855349081,0.94655820977546
0,100,10,"stdCI","mu",0.9071,0.901201642110259,0.912682960421955
0,100,10,"stuCI","mu",0.9401,0.93522600648526,0.944632367683914
0,100,10,"pctCI","mu",0.9063,0.900380053045366,0.911905179788944
0,100,10,"ctrCI","mu",0.9036,0.897608114956021,0.909279243830535
0,100,10,"bcCI","mu",0.9056,0.899661266365873,0.911224517833848
0,100,10,"bcaCI","mu",0.9051,0.899147906034109,0.910738271914429
0,100,10,"propCI","mu",0.9062,0.900277363330781,0.911807948278459
0,100,5,"stdCI","mu",0.9239,0.918487124252779,0.928984191934465
0,100,5,"stuCI","mu",0.939,0.93408673301928,0.943572525667916
0,100,5,"pctCI","mu",0.9236,0.918177865174432,0.928693689259335
0,100,5,"ctrCI","mu",0.9203,0.914777536433109,0.925496636012276
