"phi","n","blksize","CI","target","cov","LB","UB"
0.4,100,10,"stdCI","sigma",0.8154,0.807624479811482,0.82293170179553
0.4,100,10,"stuCI","sigma",0.8559,0.848829107697478,0.862695577553611
0.4,100,10,"pctCI","sigma",0.7913,0.783173310258842,0.799201568301316
0.4,100,10,"ctrCI","sigma",0.8141,0.806304356204704,0.821652834650971
0.4,100,10,"bcCI","sigma",0.8044,0.796458562845799,0.812106155897657
0.4,100,10,"bcaCI","sigma",0.8174,0.809655716150582,0.824898912591838
0.4,100,10,"propCI","sigma",0.8056,0.797676190514412,0.813287597187406
0.4,100,5,"stdCI","sigma",0.8186,0.81087462062113,0.826079076298994
0.4,100,5,"stuCI","sigma",0.8395,0.832124523476557,0.846612930212541
0.4,100,5,"pctCI","sigma",0.8013,0.793313545447295,0.809053578186263
0.4,100,5,"ctrCI","sigma",0.825,0.817377548021498,0.832371177808248
0.4,100,5,"bcCI","sigma",0.8199,0.812195239464365,0.827357447892142
0.4,100,5,"bcaCI","sigma",0.8364,0.82897004695664,0.843569817847894
0.4,100,5,"propCI","sigma",0.8133,0.805492042340263,0.820865769547956
0.4,1600,12,"stdCI","sigma",0.9293,0.924057950160402,0.934209069869158
0.4,1600,12,"stuCI","sigma",0.9311,0.925916729748925,0.935948854688973
