"phi","n","CI","target","cov","LB","UB"
0.4,100,"ctrCI","rho",0.7676,0.739910637713128,0.793202267361611
0.4,100,"bcCI","rho",0.7914,0.764605497570803,0.815920114782179
0.4,100,"bcaCI","rho",0.7819,0.754733627255413,0.80686681667589
0.4,100,"propCI","rho",0.9079,0.88784167727548,0.924749854729001
0.4,1600,"stdCI","rho",0.9446,0.928088091546894,0.957590241776621
0.4,1600,"stuCI","rho",0.9468,0.930542967980918,0.95951567769279
0.4,1600,"pctCI","rho",0.7741,0.746643033115066,0.799418778315899
0.4,1600,"ctrCI","rho",0.7888,0.761901715824798,0.813444387052916
0.4,1600,"bcCI","rho",0.7699,0.742291873677464,0.795402956667118
0.4,1600,"bcaCI","rho",0.7656,0.737840873401319,0.791287744898895
0.4,1600,"propCI","rho",0.9438,0.927196919705917,0.956888534120788
0.4,200,"stdCI","rho",0.9122,0.892502148963668,0.928653676505315
0.4,200,"stuCI","rho",0.9227,0.903935937169764,0.938131849313074
0.4,200,"pctCI","rho",0.7868,0.759822921358279,0.81153893807435
0.4,200,"ctrCI","rho",0.7745,0.747057621023262,0.799801044857934
0.4,200,"bcCI","rho",0.7866,0.759615091131371,0.811348343704038
0.4,200,"bcaCI","rho",0.7791,0.751827813697539,0.804194666821173
0.4,200,"propCI","rho",0.9159,0.896522160857323,0.932002789372602
0.4,3200,"stdCI","rho",0.9445,0.927976651850269,0.957502572625232
0.4,3200,"stuCI","rho",0.9455,0.929091612322624,0.958378686276937
0.4,3200,"pctCI","rho",0.7478,0.719454738648738,0.774213578659331
0.4,3200,"ctrCI","rho",0.7663,0.738565198748136,0.791957920333572
0.4,3200,"bcCI","rho",0.7351,0.706373106524543,0.761994738067499
0.4,3200,"bcaCI","rho",0.7317,0.702875884043684,0.758718587403634
0.4,3200,"propCI","rho",0.942,0.925194614471441,0.95530679023732
0.4,400,"stdCI","rho",0.9201,0.901097165139878,0.935792547463769
0.4,400,"stuCI","rho",0.9261,0.907656280063371,0.941182689761884
0.4,400,"pctCI","rho",0.8037,0.777417764492199,0.827610796832172
0.4,400,"ctrCI","rho",0.8013,0.774914985555081,0.825332528266238
0.4,400,"bcCI","rho",0.7999,0.773455673513759,0.824002892286975
0.4,400,"bcaCI","rho",0.7915,0.76470951987713,0.816015304217619
0.4,400,"propCI","rho",0.923,0.904263827091824,0.9384014235126
0.4,800,"stdCI","rho",0.9391,0.921976573665536,0.952750340254657
0.4,800,"stuCI","rho",0.9427,0.925972829982861,0.955922382851489
0.4,800,"pctCI","rho",0.7983,0.771788462058962,0.822482731362097
0.4,800,"ctrCI","rho",0.8083,0.782218707983822,0.83197350485675
0.4,800,"bcCI","rho",0.7999,0.773455673513759,0.824002892286975
0.4,800,"bcaCI","rho",0.793,0.766270129375031,0.817442869389356
0.4,800,"propCI","rho",0.9392,0.922087384092967,0.952838653850136
